学校名称,计划数,最低分数
华南师范大学,3,474.161083108
华南师范大学,3,474.161083108
广西大学,20,499.174098109
海南大学,14,464.147103094
海南医学院,8,505.179103110
重庆大学,20,574.211116110
西南大学,28,533.216113101
重庆邮电大学,53,517.205114102
重庆交通大学,65,459.133092100
重庆医科大学,15,531.186108104
重庆师范大学,14,466.166089107
西南政法大学,15,545.199109108
重庆理工大学,35,477.149097106
重庆工商大学,34,471.152061109
四川大学,29,583.230113111
电子科技大学,11,597.235120120
西南交通大学,34,546.206108096
四川农业大学,40,474.186110098
西南财经大学,37,458.164072111
西南石油大学,40,471.187120091
成都理工大学,31,499.179106102
成都信息工程大学,29,494.176101108
西南民族大学,22,482.157105106
西南医科大学,11,489.165106104
四川师范大学,33,485.186084103
贵州大学,14,486.167109105
云南大学,10,515.179097098
昆明理工大学,60,474.173078101
昆明医科大学,5,512.202097112
西安交通大学,36,609.226122121
西北工业大学,36,587.242121104
西北农林科技大学,50,528.208113106
西北大学,29,541.212103105
西安电子科技大学,61,577.216103106
长安大学,75,527.199104107
陕西师范大学,29,552.195105105
西安理工大学,17,464.159100103
西安工业大学,32,479.191108104
西安建筑科技大学,22,495.194100096
西安科技大学,63,493.161100104
西安石油大学,40,476.160090110
陕西科技大学,30,485.167105110
西安外国语大学,14,507.163102104
西北政法大学,11,534.188116105
西安邮电大学,15,510.186118102
兰州大学,4,544.205116098
兰州大学,4,544.205116098
兰州理工大学,41,460.189086102
兰州交通大学,71,479.176102092
西北民族大学,51,462.135093109
甘肃中医药大学,5,481.185085111
青海大学,8,469.149095100
宁夏大学,22,461.155099102
宁夏大学,22,461.155099102
宁夏医科大学,479,492.160102098
北方民族大学,101,465.173099096
新疆大学,12,468.183097099
石河子大学,25,457.156097100
石河子大学,25,457.156097100
