学校名称,计划数,最低分数
北京联合大学,2,452.152117095
中国劳动关系学院,11,447.152077096
北京工商大学嘉华学院,2,404.136078086
北京邮电大学世纪学院,1,436.160073095
北京工业大学耿丹学院,6,394.134088092
天津理工大学,24,456.163111087
天津职业技术师范大学,44,446.159087104
天津商业大学,7,459.148096107
天津城建大学,35,451.162087105
天津农学院,29,428.149084102
天津天狮学院,12,399.149069097
天津商业大学宝德学院,7,410.160067098
天津医科大学临床医学院,47,423.140077112
南开大学滨海学院,26,423.146066107
天津理工大学中环信息学院,35,409.145086098
北京科技大学天津学院,6,409.169078096
天津大学仁爱学院,24,411.160065095
天津财经大学珠江学院,11,421.141083100
天津中德应用技术大学,28,434.135105108
河北工程大学,19,448.145101095
河北地质大学,16,439.148096102
河北科技师范学院,15,433.158097093
河北医科大学,6,459.191094091
邢台学院,10,430.137077104
华北科技学院,101,438.185089088
河北金融学院,12,446.138083107
防灾科技学院,5,437.161082109
邯郸学院,4,427.146090094
张家口学院,3,442.146090118
华北理工大学轻工学院,10,399.121084092
河北外国语学院,3,407.148060104
河北科技学院,8,386.116078112
河北东方学院,3,396.111074100
华北电力大学科技学院,4,429.163084099
河北工程大学科信学院,19,420.158074092
石家庄铁道大学四方学院,6,421.177100096
燕京理工学院,8,396.146059092
北京中医药大学东方学院,8,420.175069093
河北医科大学临床学院,5,440.138079098
河北地质大学华信学院,7,394.137079105
河北环境工程学院,32,430.172067101
太原科技大学,10,450.172080097
山西农业大学,13,434.117088117
山西医科大学,20,462.183110101
山西中医药大学,18,449.158093102
山西大同大学,5,435.132096102
太原师范学院,23,440.165080093
长治医学院,20,452.150096108
晋中学院,15,422.166105089
运城学院,5,429.152084099
吕梁学院,45,425.127076105
太原工业学院,20,433.134103106
山西传媒学院,3,430.137090101
太原学院,20,427.159092101
中北大学信息商务学院,6,404.167085094
山西农业大学信息学院,5,411.139085105
太原理工大学现代科技学院,2,402.147070096
山西工程技术学院,10,431.158102104
内蒙古科技大学,22,437.163088093
内蒙古工业大学,10,434.175095097
内蒙古农业大学,10,432.145093099
内蒙古医科大学,8,451.175084102
内蒙古师范大学,10,421.122069097
内蒙古民族大学,11,426.163073085
内蒙古财经大学,4,448.153085110
内蒙古师范大学鸿德学院,2,419.148075109
鄂尔多斯应用技术学院,4,422.164097090
辽宁科技大学,18,446.147095099
辽宁石油化工大学,15,436.141096101
沈阳化工大学,10,446.122102113
大连交通大学,7,464.161100108
大连工业大学,1,442.151097104
辽宁工业大学,8,448.174114093
锦州医科大学,5,459.188070113
大连大学,7,453.173094110
沈阳大学,3,454.164104095
鞍山师范学院,2,424.158056101
沈阳工程学院,6,448.157094103
大连民族大学,46,437.137086099
大连海洋大学,10,450.174078086
沈阳医学院,13,456.159091092
辽宁对外经贸学院,2,407.156078093
大连东软信息学院,34,389.108083108
辽宁中医药大学杏林学院,7,410.130097086
大连工业大学艺术与信息工程学院,11,381.115064085
沈阳科技学院,9,386.142085089
沈阳城市建设学院,10,382.139067091
大连医科大学中山学院,8,418.141071095
锦州医科大学医疗学院,8,420.155085075
大连财经学院,10,407.124081094
吉林农业大学,18,434.139092110
长春中医药大学,9,390.133085087
北华大学,20,443.169070091
吉林师范大学,7,448.164084096
吉林财经大学,17,459.171094089
吉林化工学院,50,429.158093095
通化师范学院,4,433.157094092
白城师范学院,3,431.163086095
吉林工商学院,10,423.146096101
长春工程学院,84,432.161089083
吉林农业科技学院,7,418.145063098
长春大学,13,447.159096103
吉林医药学院,20,449.141097102
吉林外国语大学,14,410.122082095
长春建筑学院,10,396.149116090
长春科技学院,10,387.129092099
长春理工大学光电信息学院,11,398.155068098
长春财经学院,9,414.114113101
长春大学旅游学院,9,397.122075097
黑龙江科技大学,20,439.162077104
佳木斯大学,10,423.167088093
哈尔滨医科大学,5,453.151092108
黑龙江中医药大学,4,432.149093091
哈尔滨师范大学,12,428.153101092
齐齐哈尔大学,5,436.156088094
齐齐哈尔医学院,5,450.152089100
哈尔滨学院,3,432.150072109
哈尔滨金融学院,6,422.144070089
黑龙江工程学院,2,431.162097100
黑龙江财经学院,13,383.122078092
哈尔滨远东理工学院,15,382.166085089
哈尔滨华德学院,40,381.143067107
上海应用技术大学,14,454.152109100
上海工程技术大学,4,460.160098093
上海电机学院,6,454.184094103
上海商学院,6,455.173085097
上海第二工业大学,30,455.170087091
上海海关学院,4,463.155089105
上海杉达学院,28,384.118073105
上海建桥学院,18,394.137086090
上海外国语大学贤达经济人文学院,5,403.119086098
上海师范大学天华学院,5,406.141080084
南通大学,15,458.158094109
陆军工程大学,4,456.182096094
盐城工学院,5,435.160094102
盐城师范学院,5,429.142075097
金陵科技学院,12,450.148106106
徐州工程学院,5,430.179099090
南京工程学院,35,455.137105109
南京航空航天大学金城学院,6,422.129068102
南京信息工程大学滨江学院,10,422.146079097
南京邮电大学通达学院,7,423.143085107
南京审计大学金审学院,5,427.137082106
常州大学怀德学院,13,404.115065103
南京特殊教育师范学院,4,440.152098102
浙江农林大学,31,451.165061101
嘉兴学院,24,441.146080096
浙江传媒学院,16,456.149097096
宁波大学科学技术学院,6,406.150084093
淮北师范大学,7,449.176096098
淮南师范学院,20,435.164072093
安徽文达信息工程学院,3,403.146083106
安徽财经大学商学院,7,421.136083101
亳州学院,7,416.142065097
福建农林大学,12,437.144095096
集美大学,21,461.150096105
福建医科大学,8,449.159085104
福建工程学院,33,442.148091097
闽江学院,7,439.170090103
厦门理工学院,9,454.174076099
三明学院,7,427.179079097
龙岩学院,8,425.149071100
福建商学院,4,447.147089106
武夷学院,3,429.143102096
厦门大学嘉庚学院,24,426.144100095
福州大学至诚学院,16,408.120067098
厦门工学院,19,400.137082094
江西农业大学,4,432.169073098
江西中医药大学,3,419.162089099
江西科技师范大学,4,445.163082096
