学校名称,计划数,最低分数
北京物资学院,3,526.230094106
北京联合大学,2,532.191099110
中国劳动关系学院,15,523.228090083
天津商业大学,11,533.205109094
天津农学院,2,509.201093102
天津中德应用技术大学,4,500.213095077
河北工程大学,6,512.200108099
华北理工大学,4,509.195094070
河北地质大学,4,509.212098106
河北医科大学,5,509.209093088
河北师范大学,5,529.212091108
邢台学院,10,507.204102094
华北科技学院,24,515.216094107
河北金融学院,10,515.187109095
邯郸学院,8,500.209089086
张家口学院,3,504.195107081
河北环境工程学院,12,498.199081103
山西农业大学,2,511.207092095
山西医科大学,4,513.198091107
山西中医药大学,11,519.205094100
山西大同大学,10,513.210101093
太原师范学院,14,516.200099093
晋中学院,10,502.217094113
运城学院,5,498.205094115
吕梁学院,13,499.203092103
山西传媒学院,10,502.211114052
太原学院,15,501.185085114
山西工程技术学院,4,500.241105050
内蒙古科技大学,3,504.211098075
内蒙古师范大学,10,503.198099096
内蒙古财经大学,4,502.192100109
呼伦贝尔学院,3,499.205102074
集宁师范学院,5,501.202088089
大连大学,3,516.206098095
沈阳大学,2,519.209092104
鞍山师范学院,2,502.198089100
大连民族大学,8,509.202095090
辽宁师范大学,2,517.213100100
长春中医药大学,4,528.224094114
吉林师范大学,9,514.199107105
吉林财经大学,8,532.202092107
通化师范学院,4,499.201102101
白城师范学院,2,500.207104078
吉林工商学院,10,505.195108077
吉林农业科技学院,2,498.213107083
长春大学,4,512.196106087
哈尔滨师范大学,8,503.217088077
齐齐哈尔大学,3,498.229087096
哈尔滨学院,2,501.194097089
哈尔滨金融学院,4,516.201087101
上海商学院,7,529.219108086
上海海关学院,6,537.203106098
南通大学,4,531.209092109
盐城师范学院,10,499.196098092
金陵科技学院,4,517.199095115
徐州工程学院,30,499.181098108
南京工程学院,20,521.205096096
南京晓庄学院,10,518.213118069
南京特殊教育师范学院,9,503.188097126
浙江农林大学,8,527.208109086
嘉兴学院,9,524.228092122
浙江传媒学院,10,533.207112101
淮北师范大学,8,523.206107109
安庆师范大学,5,499.213097097
亳州学院,5,498.182104101
福建农林大学,6,512.202103097
集美大学,4,539.220097107
闽江学院,5,517.213095102
厦门理工学院,4,522.199093115
三明学院,6,498.205104079
福建江夏学院,2,521.213099101
武夷学院,4,498.208095065
江西农业大学,6,516.211116083
江西科技师范大学,5,525.216087120
上饶师范学院,14,509.212091109
井冈山大学,6,510.221087110
南昌工程学院,4,514.196099078
新余学院,3,499.210084104
九江学院,11,506.204109075
山东建筑大学,7,521.203097091
山东理工大学,5,523.196110117
山东农业大学,2,507.216103086
青岛农业大学,10,521.210097093
鲁东大学,7,528.202114098
烟台大学,10,531.212102094
德州学院,5,501.186087089
菏泽学院,4,502.217095076
潍坊学院,8,508.201101102
山东工商学院,10,521.205094091
滨州学院,3,502.221096087
郑州轻工业学院,5,508.215094097
河南工业大学,15,516.216097078
河南科技大学,10,522.205105100
中原工学院,8,499.219098096
河南中医药大学,4,524.190094118
信阳师范学院,5,498.205098103
河南财经政法大学,7,521.208084113
洛阳师范学院,7,500.174091115
河南工程学院,6,505.197085106
河南农业大学,4,512.227098089
郑州航空工业管理学院,4,512.187105114
河南科技学院,4,502.199107072
周口师范学院,2,498.203084103
许昌学院,12,500.197102108
南阳师范学院,3,504.215093081
黄淮学院,15,499.215090091
洛阳理工学院,4,510.220098115
安阳工学院,4,499.205094070
南阳理工学院,9,503.184103124
郑州师范学院,4,500.201108078
河南财政金融学院,7,499.210098100
长江大学,3,501.189103081
湖北中医药大学,3,521.231097098
湖北文理学院,4,502.205090079
湖北经济学院,5,499.223092089
湖南理工学院,2,521.218102095
湖南财政经济学院,9,526.208095126
衡阳师范学院,7,516.217094100
邵阳学院,6,507.207089097
湖南文理学院,6,521.190093115
湖南人文科技学院,3,509.225087094
湖南商学院,8,526.203103096
湖南城市学院,17,504.235105087
广东金融学院,5,534.195115097
广东技术师范学院,15,498.201093101
北京师范大学珠海分校,6,525.200091116
广西民族大学,8,502.191104084
桂林理工大学,4,515.205105080
梧州学院,2,498.211093086
海南师范大学,12,526.230094093
海南医学院,4,499.202095105
海南热带海洋学院,9,498.205101099
琼台师范学院,3,505.180097104
重庆师范大学,4,532.205097112
重庆工商大学,5,530.227099102
重庆文理学院,7,504.213108075
重庆三峡学院,5,506.201082097
长江师范学院,2,530.221089106
西南科技大学,7,526.232103062
中国民用航空飞行学院,1,563.208104105
西华师范大学,4,512.217080094
西南民族大学,52,517.178095099
四川理工学院,4,514.213088100
绵阳师范学院,10,514.224095099
宜宾学院,16,503.228098080
四川文理学院,5,509.196098119
乐山师范学院,9,506.218095090
攀枝花学院,3,506.219084102
大理大学,4,510.205095105
云南财经大学,5,521.208102110
曲靖师范学院,3,498.209082104
玉溪师范学院,4,503.214089103
文山学院,5,501.186095110
陕西中医药大学,2,527.203102073
延安大学,6,517.215107096
陕西理工大学,3,520.209088104
西安财经学院,12,532.214100087
咸阳师范学院,8,517.222092098
渭南师范学院,2,509.195090112
西安文理学院,4,518.231094096
榆林学院,3,502.206100099
商洛学院,2,504.178099099
安康学院,2,506.183093127
西安医学院,6,506.207105071
兰州理工大学,2,515.211087102
西北师范大学,15,527.195102091
兰州财经大学,22,518.179102094
西北民族大学,75,506.213090082
甘肃政法学院,5,519.201097110
甘肃中医药大学,9,523.223081107
甘肃中医药大学,9,523.223081107
兰州城市学院,4,499.209099075
甘肃民族师范学院,6,499.187097077
河西学院,2,503.214086121
兰州文理学院,5,506.217095101
青海民族大学,340,501.183098105
青海民族大学,340,501.183098105
青海民族大学,340,501.183098105
北方民族大学,102,510.189107082
宁夏师范学院,414,507.216101082
石河子大学,3,502.207099098
塔里木大学,5,498.218086101
新疆财经大学,2,507.202096118
新疆师范大学,6,509.213098107
