学校名称,科类,批次,平均分,最高分,最低分,最低位次,学位,学科门类,专业,专业名称
吉林大学,理科,本科一批,-,-,577,1173,本科,工学,计算机类,软件工程（宜英语语种考生就读。招有专业志愿考生，第3、4年学费共28000元）
吉林大学,理科,本科一批,-,-,570,1411,本科,工学,机械类,车辆工程
吉林大学,理科,本科一批,-,-,569,1446,本科,理学,数学类,数学类
吉林大学,理科,本科一批,-,-,569,1446,本科,工学,计算机类,计算机类（宜英语语种考生就读）
吉林大学,理科,本科一批,-,-,568,1482,本科,经济学,经济学类,经济学类（经济学院）
吉林大学,理科,本科一批,-,-,567,1517,本科,医学,临床医学类,临床医学（5+3医）
吉林大学,理科,本科一批,-,-,566,1564,本科,工学,电子信息类,电子信息类
吉林大学,理科,本科一批,-,-,566,1564,本科,医学,临床医学类,临床医学
吉林大学,理科,本科一批,-,-,566,1564,本科,工学,能源动力类,能源与动力工程
吉林大学,理科,本科一批,-,-,565,1598,本科,工学,电子信息类,通信工程（含通信工程、信息工程、空间信息与数字技术）
吉林大学,理科,本科一批,-,-,561,1768,本科,工学,自动化类,自动化
吉林大学,理科,本科一批,-,-,561,1768,本科,理学,化学类,化学类
吉林大学,理科,本科一批,-,-,560,1803,本科,工学,材料类,材料类
吉林大学,理科,本科一批,-,-,560,1803,本科,工学,土木类,土木类
吉林大学,理科,本科一批,-,-,560,1803,本科,管理学,工商管理类,工商管理类（商学院）
吉林大学,理科,本科一批,-,-,559,1852,本科,工学,仪器类,仪器类
吉林大学,理科,本科一批,-,-,559,1852,本科,工学,地质类,地质类
吉林大学,理科,本科一批,-,-,558,1890,本科,工学,交通运输类,交通运输类
吉林大学,理科,本科一批,-,-,557,1938,本科,工学,机械类,机械类
吉林大学,理科,本科一批,-,-,556,1985,本科,理学,生物科学类,生物科学类
吉林大学,理科,本科一批,-,-,556,1985,本科,工学,水利类,水利类
吉林大学,理科,本科一批,-,-,556,1985,本科,管理学,管理科学与工程类,管理科学与工程类（管理学院）
吉林大学,理科,本科一批,-,-,555,2040,本科,工学,农业工程类,农业机械化及其自动化
吉林大学,文科,本科一批,-,-,607,1,本科,法学,法学类,法学
吉林大学,文科,本科一批,-,-,606,1,本科,文学,新闻传播学类,新闻传播学类
吉林大学,文科,本科一批,-,-,605,1,本科,哲学,哲学类,哲学
吉林大学,文科,本科一批,-,-,603,1,本科,文学,外国语言文学类,俄语（零起点培养）（口试外语）
赣南科技学院,理科,本科二批,414.50,418,411,19037,本科,工学,电气类,电气工程及其自动化
赣南科技学院,理科,本科二批,408.50,414,403,20272,本科,工学,矿业类,矿业类
赣南科技学院,理科,本科二批,403.50,405,402,20430,本科,管理学,工业工程类,工业工程
赣南科技学院,理科,本科二批,405.50,412,399,20869,本科,经济学,金融学类,金融学
赣南科技学院,文科,本科二批,495.50,496,495,6364,本科,法学,法学类,法学
赣南科技学院,文科,本科二批,495,496,494,6471,本科,管理学,工商管理类,会计学
