学校名称,科类,批次,平均分,最高分,最低分,最低位次,学位,学科门类,专业,专业名称
吉林大学,理科,本科一批,559,-,-,-,本科,经济学,金融学类,金融学
吉林大学,理科,本科一批,553,-,-,-,本科,管理学,管理科学与工程类,信息管理与信息系统
吉林大学,理科,本科一批,574,-,-,-,本科,管理学,工商管理类,会计学
吉林大学,理科,本科一批,562,-,-,-,本科,管理学,工商管理类,工商管理
吉林大学,理科,本科一批,550,-,-,-,本科,管理学,工商管理类,市场营销
吉林大学,理科,本科一批,585,-,-,-,本科,工学,机械类,车辆工程
吉林大学,理科,本科一批,570,-,-,-,本科,工学,电子信息类,通信工程
吉林大学,理科,本科一批,566,-,-,-,本科,工学,自动化类,自动化
吉林大学,理科,本科一批,565,-,-,-,本科,工学,计算机类,软件工程
吉林大学,理科,本科一批,586,-,-,-,本科,医学,临床医学类,临床医学
吉林大学,理科,本科一批,567,-,-,-,本科,工学,能源动力类,能源与动力工程
吉林大学,理科,本科一批,550,-,-,-,本科,工学,农业工程类,农业机械化及其自动化
吉林大学,理科,本科一批,562,-,-,-,本科,工学,电子信息类,电子信息科学与技术
吉林大学,理科,本科一批,562,-,-,-,本科,工学,计算机类,计算机科学与技术
吉林大学,理科,本科一批,546,-,-,-,本科,工学,测绘类,测绘工程
吉林大学,理科,本科一批,566,-,-,-,本科,工学,机械类,材料成型及控制工程
吉林大学,理科,本科一批,557,-,-,-,本科,工学,电子信息类,电子信息工程
吉林大学,理科,本科一批,562,-,-,-,本科,工学,土木类,土木工程
吉林大学,理科,本科一批,574,-,-,-,本科,工学,机械类,机械工程
吉林大学,理科,本科一批,550,-,-,-,本科,理学,统计学类,统计学
吉林大学,理科,本科一批,564,-,-,-,本科,理学,物理学类,物理学
吉林大学,理科,本科一批,564,-,-,-,本科,工学,电气类,电气工程及其自动化
吉林大学,理科,本科一批,554,-,-,-,本科,工学,材料类,材料科学与工程
吉林大学,理科,本科一批,556,-,-,-,本科,工学,电子信息类,电子科学与技术
吉林大学,理科,本科一批,535,-,-,-,本科,管理学,物流管理与工程类,物流管理
吉林大学,理科,本科一批,564,-,-,-,本科,理学,化学类,化学
吉林大学,理科,本科一批,554,-,-,-,本科,工学,交通运输类,交通运输
吉林大学,理科,本科一批,564,-,-,-,本科,工学,电子信息类,信息工程
吉林大学,理科,本科一批,554,-,-,-,本科,工学,生物工程类,生物制药
吉林大学,理科,本科一批,549,-,-,-,本科,工学,地质类,资源勘查工程
吉林大学,理科,本科一批,547,-,-,-,本科,理学,地质学类,地质学
吉林大学,理科,本科一批,554,-,-,-,本科,工学,仪器类,测控技术与仪器
吉林大学,理科,本科一批,557,-,-,-,本科,工学,水利类,水文与水资源工程
吉林大学,文科,本科一批,593,-,-,-,本科,法学,法学类,法学
吉林大学,文科,本科一批,573,-,-,-,本科,法学,政治学类,政治学与行政学
吉林大学,文科,本科一批,582,-,-,-,本科,文学,新闻传播学类,新闻学
吉林大学,文科,本科一批,577,-,-,-,本科,历史学,历史学类,文物与博物馆学
吉林大学,文科,本科一批,578,-,-,-,本科,文学,外国语言文学类,英语
吉林大学,文科,本科一批,575,-,-,-,本科,文学,外国语言文学类,俄语
吉林大学,文科,本科一批,566,-,-,-,本科,管理学,农业经济管理类,农林经济管理
哈尔滨金融学院,理科,本科二批,439,-,-,-,本科,工学,计算机类,软件工程
哈尔滨金融学院,理科,本科二批,461,-,-,-,本科,管理学,工商管理类,会计学
哈尔滨金融学院,理科,本科二批,455,-,-,-,本科,经济学,金融学类,保险学
哈尔滨金融学院,文科,本科二批,508,-,-,-,本科,经济学,金融学类,金融学
哈尔滨金融学院,文科,本科二批,489,-,-,-,本科,文学,外国语言文学类,英语
四川农业大学,理科,本科一批,484,-,-,-,本科,经济学,经济学类,经济学
四川农业大学,理科,本科一批,505,-,-,-,本科,经济学,金融学类,金融学
四川农业大学,理科,本科一批,498,-,-,-,本科,管理学,农业经济管理类,农林经济管理
四川农业大学,理科,本科一批,471,-,-,-,本科,管理学,旅游管理类,旅游管理
四川农业大学,理科,本科一批,481,-,-,-,本科,理学,生物科学类,生物科学
四川农业大学,理科,本科一批,475,-,-,-,本科,工学,土木类,土木工程
四川农业大学,理科,本科一批,482,-,-,-,本科,工学,农业工程类,农业机械化及其自动化
四川农业大学,理科,本科一批,475,-,-,-,本科,工学,食品科学与工程类,食品科学与工程
四川农业大学,理科,本科一批,494,-,-,-,本科,农学,动物生产类,动物科学
四川农业大学,理科,本科一批,501,-,-,-,本科,管理学,管理科学与工程类,工程造价
四川农业大学,理科,本科一批,487,-,-,-,本科,理学,物理学类,应用物理学
四川农业大学,理科,本科一批,487,-,-,-,本科,工学,环境科学与工程类,环境生态工程
四川农业大学,理科,本科一批,477,-,-,-,本科,农学,植物生产类,烟草
四川农业大学,理科,本科一批,479,-,-,-,本科,工学,农业工程类,农业电气化
四川农业大学,理科,本科一批,468,-,-,-,本科,工学,农业工程类,农业建筑环境与能源工程
安康学院,理科,本科二批,446,457,435,14755,本科,工学,食品科学与工程类,食品科学与工程
安康学院,文科,本科二批,484,484,484,4729,本科,理学,地理科学类,地理科学
西北民族大学,理科,本科二批,438,-,-,-,本科,管理学,工商管理类,财务管理
西北民族大学,理科,本科二批,435,-,-,-,本科,管理学,工商管理类,工商管理
西北民族大学,理科,本科二批,434,-,-,-,本科,医学,医学技术类,医学检验技术
西北民族大学,理科,本科二批,426,-,-,-,本科,工学,材料类,无机非金属材料工程
西北民族大学,理科,本科二批,419,-,-,-,本科,农学,动物生产类,动物科学
西北民族大学,理科,本科二批,428,-,-,-,本科,工学,电子信息类,通信工程
西北民族大学,理科,本科二批,434,-,-,-,本科,工学,电气类,电气工程及其自动化
西北民族大学,理科,本科二批,435,-,-,-,本科,教育学,教育学类,教育技术学
西北民族大学,理科,本科二批,434,-,-,-,本科,经济学,经济与贸易类,国际经济与贸易
西北民族大学,理科,本科二批,429,-,-,-,本科,工学,计算机类,软件工程
西北民族大学,理科,本科二批,446,-,-,-,本科,理学,数学类,数学与应用数学
西北民族大学,理科,本科二批,447,-,-,-,本科,医学,临床医学类,临床医学
西北民族大学,理科,本科二批,434,-,-,-,本科,历史学,历史学类,文物保护技术
西北民族大学,理科,本科二批,432,-,-,-,本科,理学,心理学类,应用心理学
西北民族大学,理科,本科二批,427,-,-,-,本科,理学,化学类,应用化学
西北民族大学,理科,本科二批,436,-,-,-,本科,经济学,金融学类,保险学
西北民族大学,理科,本科二批,443,-,-,-,本科,经济学,金融学类,金融学
西北民族大学,理科,本科二批,438,-,-,-,本科,经济学,经济学类,经济学
西北民族大学,理科,本科二批,424,-,-,-,本科,工学,计算机类,物联网工程
西北民族大学,理科,本科二批,448,-,-,-,本科,管理学,工商管理类,会计学
