学校名称,计划数,最低分数
湖北中医药大学,3,532.211099112
湖北文理学院,4,524.192105115
湖北理工学院,2,504.212113088
湖北经济学院,5,534.219110108
黄冈师范学院,4,509.241098086
武汉生物工程学院,6,467.195092116
武昌理工学院,2,481.207096095
武昌工学院,10,476.207097083
武汉科技大学城市学院,2,495.210106087
三峡大学科技学院,3,494.225097081
长江大学文理学院,6,496.205100099
湖北文理学院理工学院,4,491.164111103
文华学院,6,496.225110098
武汉华夏理工学院,4,482.186105094
湖南理工学院,2,533.212107103
湖南财政经济学院,9,535.209105120
衡阳师范学院,8,527.227110100
邵阳学院,6,514.224105093
湖南文理学院,6,535.226109111
湖南人文科技学院,2,501.246091100
湖南商学院,8,537.214105111
湖南城市学院,13,520.201114103
长沙医学院,8,482.207096081
湖南涉外经济学院,4,487.181098108
南华大学船山学院,2,494.209110113
湖南理工学院南湖学院,2,501.201117090
长沙理工大学城南学院,2,497.199101089
韶关学院,5,512.195112105
广东金融学院,2,542.198098122
广东技术师范大学,15,520.197105107
广州商学院,12,463.205103081
北京理工大学珠海学院,7,496.202101111
吉林大学珠海学院,8,498.209101074
广东外语外贸大学南国商学院,8,472.189093088
广西民族大学,6,517.217110072
桂林理工大学,4,527.211110109
梧州学院,2,512.210101079
桂林旅游学院,3,508.204096097
海南师范大学,8,535.214100114
海南医学院,4,513.206100094
海南热带海洋学院,4,506.210097093
三亚学院,7,472.186107078
海口经济学院,16,461.185101094
琼台师范学院,4,522.225093098
海南科技职业大学,2,467.192095066
重庆师范大学,4,542.219101099
重庆工商大学,3,540.217098115
重庆文理学院,4,529.224098093
重庆三峡学院,4,511.208094106
长江师范学院,2,544.196116113
重庆大学城市科技学院,19,497.202094102
重庆人文科技学院,13,498.212112099
四川外国语大学重庆南方翻译学院,19,490.203107083
重庆师范大学涉外商贸学院,30,499.188103115
重庆工商大学派斯学院,13,491.187081106
重庆邮电大学移通学院,16,489.220102112
重庆工商大学融智学院,3,503.189101104
西南科技大学,7,532.235103095
中国民用航空飞行学院,1,530.198099099
西南民族大学,48,525.183101108
四川轻化工大学,4,525.201101106
绵阳师范学院,10,527.218105108
内江师范学院,3,522.193110113
宜宾学院,12,513.224110105
四川文理学院,5,522.214113093
乐山师范学院,6,516.216103085
攀枝花学院,3,514.213101111
成都东软学院,3,487.194095094
电子科技大学成都学院,6,501.195106104
成都理工大学工程技术学院,12,486.212099096
成都信息工程大学银杏酒店管理学院,12,476.194102088
四川工商学院,6,485.188102107
四川外国语大学成都学院,25,500.198096085
西南财经大学天府学院,27,499.214099085
四川文化艺术学院,4,483.194088112
西南科技大学城市学院,5,486.209104071
