学校名称,计划数,最低分数
北京联合大学,3,435.151052107
中国劳动关系学院,11,429.141092106
北京工商大学嘉华学院,2,388.158060090
北京工业大学耿丹学院,6,378.121065103
天津理工大学,24,435.150074088
天津职业技术师范大学,45,423.164068107
天津商业大学,7,433.153074100
天津城建大学,35,426.147065110
天津农学院,42,414.158066091
天津天狮学院,12,388.155061100
天津商业大学宝德学院,7,393.120072100
天津医科大学临床医学院,47,404.159067089
南开大学滨海学院,29,402.130062102
天津理工大学中环信息学院,36,387.162066084
北京科技大学天津学院,6,394.144039101
天津大学仁爱学院,24,391.163068094
天津财经大学珠江学院,11,405.144064105
天津中德应用技术大学,24,409.155076100
河北工程大学,19,425.169059096
河北地质大学,16,422.153063094
河北科技师范学院,15,414.152071113
河北医科大学,8,440.169079088
邢台学院,10,411.138072100
华北科技学院,108,414.138060099
河北金融学院,12,398.140090092
防灾科技学院,5,421.165077103
邯郸学院,11,409.156085088
张家口学院,3,408.143092098
河北水利电力学院,10,407.139089098
华北理工大学轻工学院,10,389.112074090
河北外国语学院,3,368.123075093
河北东方学院,9,382.145073090
华北电力大学科技学院,3,409.144106094
河北工程大学科信学院,19,393.149086093
石家庄铁道大学四方学院,6,401.162080087
燕京理工学院,8,388.183086088
北京中医药大学东方学院,9,406.152075085
河北医科大学临床学院,5,430.152071097
河北地质大学华信学院,7,383.151055111
河北环境工程学院,26,406.163070090
太原科技大学,10,421.164070088
山西农业大学,13,414.155076106
山西医科大学,21,436.140062107
山西中医药大学,18,432.163091089
山西大同大学,10,419.110076106
太原师范学院,23,428.162090092
长治医学院,20,432.156063101
晋中学院,21,407.159065098
运城学院,10,402.143077081
吕梁学院,49,410.162071110
太原工业学院,20,395.139090105
山西传媒学院,5,406.134086094
太原学院,20,409.140085107
中北大学信息商务学院,2,387.174069087
太原理工大学现代科技学院,1,392.169044090
山西工程技术学院,11,412.134074116
内蒙古科技大学,22,417.162070103
内蒙古工业大学,10,408.138066087
内蒙古农业大学,10,408.161069088
内蒙古医科大学,8,449.188064105
内蒙古师范大学,10,423.172059096
内蒙古民族大学,11,407.151060099
内蒙古财经大学,4,427.172067089
内蒙古鸿德文理学院,2,381.136063092
鄂尔多斯应用技术学院,4,405.162057102
辽宁科技大学,18,424.159070114
辽宁石油化工大学,15,419.164095077
沈阳化工大学,10,422.179080089
大连交通大学,7,438.200095095
大连工业大学,1,421.180080096
辽宁工业大学,8,409.170054108
锦州医科大学,5,445.190072087
大连大学,7,429.189070106
沈阳大学,3,430.153064091
鞍山师范学院,2,421.158065109
沈阳工程学院,6,429.157082110
大连民族大学,46,413.185052081
大连海洋大学,10,408.152083108
沈阳医学院,13,440.178073094
辽宁对外经贸学院,2,400.145067095
大连东软信息学院,34,377.133065103
辽宁中医药大学杏林学院,7,396.142082097
大连工业大学艺术与信息工程学院,10,376.134098089
沈阳科技学院,11,377.142060085
沈阳城市建设学院,10,373.137065095
大连医科大学中山学院,8,404.144075099
锦州医科大学医疗学院,8,401.146062098
大连财经学院,10,388.123081097
吉林农业大学,18,403.151078089
长春中医药大学,15,420.162061106
北华大学,20,420.159078100
吉林师范大学,7,411.163055095
吉林财经大学,17,433.185092097
吉林化工学院,50,410.155051106
通化师范学院,4,413.163083091
白城师范学院,3,419.140085106
吉林工商学院,10,409.162056109
长春工程学院,84,410.161074099
吉林农业科技学院,7,409.146074095
长春大学,13,425.157077106
吉林医药学院,20,421.161068096
吉林外国语大学,15,392.163058093
长春建筑学院,10,383.151065084
长春科技学院,8,387.161065098
长春理工大学光电信息学院,11,383.141067084
长春财经学院,9,400.154076106
长春大学旅游学院,11,385.119044097
