学校名称,计划数,最低分数
北京大学,9,666.278125124
清华大学,13,668.275132120
中国人民大学,7,641.252120109
北京航空航天大学,17,633.259130114
北京理工大学,30,612.236118113
中国农业大学,11,553.200116099
北京师范大学,13,599.245120110
中央民族大学,36,539.199095101
北京大学医学部,9,643.252109115
北京交通大学,51,556.237111106
北京科技大学,35,554.226098106
北京化工大学,54,479.171091114
北京邮电大学,10,467.191085089
北京邮电大学,10,467.191085089
北京林业大学,37,434.157061109
北京中医药大学,28,535.208095113
北京外国语大学,4,566.220091120
中国传媒大学,12,548.210102109
中央财经大学,2,632.244116112
中央财经大学,2,632.244116112
北京体育大学,16,463.198054099
中国政法大学,25,479.191088114
中国政法大学,25,479.191088114
中国政法大学,25,479.191088114
中国政法大学,25,479.191088114
中国政法大学,25,479.191088114
北京工业大学,4,494.192084110
北京工业大学,4,494.192084110
北方工业大学,20,499.189077106
北京工商大学,20,438.164078100
首都经济贸易大学,9,529.219082099
北京信息科技大学,29,489.196088094
北京印刷学院,8,438.166060096
北京建筑大学,6,484.175095099
北京物资学院,15,453.176070109
南开大学,11,610.250110115
天津大学,36,589.238107106
天津医科大学,12,552.218105102
河北工业大学,20,511.213105104
天津科技大学,66,470.173098095
天津工业大学,40,490.200107088
中国民航大学,39,449.179061111
天津理工大学,39,461.181082095
天津师范大学,42,496.188091110
天津外国语大学,18,455.152058101
天津财经大学,28,499.183079106
东北大学秦皇岛分校,54,437.183076107
东北大学秦皇岛分校,54,437.183076107
燕山大学,10,498.178105092
华北理工大学,34,450.199067093
石家庄铁道大学,18,453.196082106
河北医科大学,7,557.231091111
河北师范大学,5,453.178093096
太原理工大学,40,504.196084112
中北大学,28,438.186082107
山西医科大学,5,552.197089115
山西财经大学,43,459.168085111
东北大学,36,541.237103094
大连理工大学,9,499.188075105
大连理工大学,9,499.188075105
辽宁大学,10,511.211085112
大连海事大学,23,502.205096099
东北财经大学,13,520.211085103
辽宁科技大学,24,443.157081093
辽宁工程技术大学,33,439.177076103
沈阳建筑大学,18,435.184059092
沈阳农业大学,18,435.153053103
大连医科大学,18,550.226095112
沈阳药科大学,18,465.175105087
沈阳工业大学,40,446.197089083
中国医科大学,7,566.223115108
吉林大学,68,553.218104111
延边大学,11,463.183088090
东北师范大学,19,524.196109098
长春理工大学,13,436.169087094
东北电力大学,67,458.179085087
哈尔滨工业大学,9,616.252105114
哈尔滨工程大学,14,535.184101117
东北林业大学,51,454.171063107
东北农业大学,11,442.167082093
黑龙江大学,16,443.172078104
东北石油大学,15,446.182082090
黑龙江中医药大学,16,484.184081093
哈尔滨商业大学,12,446.159072098
哈尔滨理工大学,35,450.179091089
复旦大学,4,657.268142111
上海交通大学,4,661.270127113
同济大学,21,624.252129121
复旦大学医学院,2,655.275125117
上海交通大学医学院,2,651.275127110
华东理工大学,22,547.208121107
东华大学,35,527.206083119
上海财经大学,22,577.232099122
上海理工大学,68,490.170099107
上海海事大学,40,434.153074107
上海应用技术大学,26,462.204080094
上海海洋大学,6,472.213067095
华东政法大学,10,545.216104100
上海电力大学,17,500.186092103
上海立信会计金融学院,43,488.200062105
上海电机学院,36,447.181058112
上海第二工业大学,7,473.186088097
南京大学,12,637.261119126
东南大学,34,590.238118116
苏州大学,33,537.208094106
南京航空航天大学,16,548.232106097
南京理工大学,17,550.223108096
中国矿业大学,85,497.208084100
河海大学,48,533.233084109
江南大学,19,524.202115095
南京农业大学,29,497.182114106
中国药科大学,45,516.230096104
江苏科技大学,64,450.186090089
南京工业大学,56,436.172065113
常州大学,45,448.181058097
南京邮电大学,37,533.218093106
南京林业大学,40,469.165084096
江苏大学,46,442.146075100
南京信息工程大学,30,513.182103107
南京中医药大学,22,501.195095097
苏州科技大学,32,473.196087096
南京审计大学,20,475.171085102
西交利物浦大学,40,434.166052100
浙江大学,9,651.257128118
杭州电子科技大学,39,518.198104103
浙江工业大学,35,491.205087099
浙江农林大学,32,436.164067103
浙江工商大学,17,464.148083103
中国计量大学,31,487.200090100
浙江师范大学,19,451.192079089
浙江财经大学,23,503.198085102
宁波大学,10,475.189062094
宁波诺丁汉大学,10,469.152087105
中国科学技术大学,7,642.256124116
合肥工业大学,18,505.204075110
合肥工业大学,18,505.204075110
安徽理工大学,50,440.173070100
安徽农业大学,25,437.198055095
安徽财经大学,41,464.141094102
厦门大学,6,434.162058103
厦门大学,6,434.162058103
福州大学,20,452.188087100
福建农林大学,18,438.162074104
福建医科大学,2,554.217097102
福建师范大学,14,446.190073101
南昌大学,24,515.223089096
华东交通大学,40,458.179079098
东华理工大学,28,440.169073096
江西理工大学,76,439.152079107
江西中医药大学,12,478.178087100
江西师范大学,29,478.181083112
江西财经大学,16,525.170107109
江西科技师范大学,8,446.178071105
赣南医学院,19,473.204094095
山东大学,52,566.220099112
山东大学威海分校,10,538.203093118
中国海洋大学,2,484.189082103
中国海洋大学,2,484.189082103
中国海洋大学,2,484.189082103
中国海洋大学,2,484.189082103
山东科技大学,102,463.195068095
青岛科技大学,40,442.190085091
济南大学,45,452.177101095
山东理工大学,65,443.206074087
山东财经大学,35,478.176082107
青岛大学,11,492.185084100
山东师范大学,28,486.205088105
郑州大学,34,488.192077092
河南师范大学,10,466.188092099
华北水利水电大学,55,447.147091095
河南工业大学,7,439.190085091
新乡医学院,23,480.160086109
河南大学,16,491.181102104
河南财经政法大学,6,588.221103111
河南财经政法大学,6,588.221103111
武汉大学,44,592.248106112
华中科技大学,50,598.241120112
华中农业大学,41,504.189111098
华中农业大学,41,504.189111098
华中农业大学,41,504.189111098
武汉理工大学,31,529.221097104
华中师范大学,8,554.219105109
中南财经政法大学,16,550.206105105
武汉科技大学,20,492.196076101
长江大学,41,450.170090094
武汉工程大学,11,439.202080087
湖北工业大学,18,459.189071100
湖北大学,18,471.175092106
中南民族大学,96,448.174060099
三峡大学,35,456.191069104
中南大学,101,558.186113113
湖南大学,51,556.220098108
湖南师范大学,14,528.229102097
湘潭大学,7,477.176084103
长沙理工大学,54,482.193088106
湖南农业大学,33,441.201089094
中南林业科技大学,56,439.178069092
湖南中医药大学,35,483.165084105
南华大学,46,452.160088103
湖南工业大学,37,449.195073102
湖南科技大学,22,444.176079111
湖南工商大学,10,443.135071115
中山大学,18,581.230111101
华南理工大学,4,564.229105103
华南理工大学,4,564.229105103
暨南大学,15,624.259122112
暨南大学,15,624.259122112
广州中医药大学,12,503.209086102
广州大学,17,470.199091101
广东工业大学,24,492.205086102
南方医科大学,10,535.209103115
华南师范大学,8,520.213103102
深圳技术大学,3,448.178069098
深圳技术大学,3,448.178069098
广西大学,20,474.185089101
海南大学,14,488.185078110
海南医学院,8,498.193081101
重庆大学,23,569.215101107
西南大学,29,530.185098117
重庆邮电大学,55,506.188105098
重庆交通大学,65,460.206070096
重庆医科大学,15,526.205088112
重庆师范大学,20,484.173087108
西南政法大学,15,551.228092116
重庆理工大学,40,461.183082114
重庆工商大学,34,453.177070104
四川大学,30,588.245123113
电子科技大学,11,605.244113107
西南交通大学,38,540.211114097
四川农业大学,50,465.155084109
西南财经大学,38,546.203135103
西南石油大学,40,460.196083092
成都理工大学,33,493.176099099
成都信息工程大学,27,490.206089098
成都中医药大学,15,465.197069098
西南民族大学,22,461.177069095
西南医科大学,11,498.205077103
四川师范大学,35,482.190081101
