学校名称,科类,批次,平均分,最高分,最低分,最低位次,学位,学科门类,专业,专业名称
吉林大学,理科,本科一批,581,596,566,-,本科,医学,临床医学类,临床医学（5+3）
吉林大学,理科,本科一批,556,562,550,-,本科,工学,机械类,车辆工程
吉林大学,理科,本科一批,543,544,542,-,本科,经济学,金融学类,金融学
吉林大学,理科,本科一批,544,547,541,-,本科,工学,土木类,道路桥梁与渡河工程
吉林大学,理科,本科一批,543,547,539,-,本科,工学,电气类,电气工程及其自动化
吉林大学,理科,本科一批,538,538,538,-,本科,工学,自动化类,自动化
吉林大学,理科,本科一批,540,543,538,-,本科,工学,机械类,机械工程
吉林大学,理科,本科一批,540,541,538,-,本科,工学,能源动力类,能源与动力工程（汽车发动机）
吉林大学,理科,本科一批,541,547,535,-,本科,管理学,工商管理类,工商管理（战略与运营管理）
吉林大学,理科,本科一批,540,545,534,-,本科,工学,计算机类,软件工程
吉林大学,理科,本科一批,534,536,533,-,本科,医学,临床医学类,临床医学（五年制）
吉林大学,理科,本科一批,537,541,533,-,本科,工学,土木类,土木工程
吉林大学,理科,本科一批,536,538,533,-,本科,理学,统计学类,统计学
吉林大学,理科,本科一批,534,538,532,-,本科,工学,计算机类,计算机科学与技术
吉林大学,理科,本科一批,548,564,531,-,本科,理学,化学类,化学
吉林大学,理科,本科一批,536,542,531,-,本科,理学,地质学类,地质学
吉林大学,理科,本科一批,538,544,531,-,本科,工学,交通运输类,交通运输（规划与管理）
吉林大学,理科,本科一批,531,531,531,-,本科,管理学,管理科学与工程类,信息管理与信息系统（信息系统）
吉林大学,理科,本科一批,534,537,530,-,本科,工学,材料类,材料科学与工程
吉林大学,理科,本科一批,534,540,529,-,本科,工学,电子信息类,电子信息科学与技术
吉林大学,理科,本科一批,530,530,529,-,本科,工学,机械类,材料成型及控制工程
吉林大学,理科,本科一批,540,551,528,-,本科,管理学,工商管理类,工商管理（国际商务管理）
吉林大学,理科,本科一批,533,538,527,-,本科,工学,电子信息类,通信工程
吉林大学,理科,本科一批,531,535,527,-,本科,工学,仪器类,测控技术与仪器（信号处理与仪器）
吉林大学,理科,本科一批,528,531,526,-,本科,管理学,工商管理类,市场营销（营销管理）
吉林大学,理科,本科一批,526,527,525,-,本科,工学,电子信息类,信息工程
吉林大学,理科,本科一批,534,541,524,-,本科,工学,测绘类,测绘工程
吉林大学,理科,本科一批,530,535,524,-,本科,工学,电子信息类,电子信息工程
吉林大学,理科,本科一批,526,528,524,-,本科,工学,仪器类,测控技术与仪器
吉林大学,理科,本科一批,531,539,524,-,本科,工学,水利类,水文与水资源工程
吉林大学,理科,本科一批,526,528,523,-,本科,工学,电子信息类,电子科学与技术
吉林大学,理科,本科一批,531,541,522,-,本科,工学,农业工程类,农业机械化及其自动化
吉林大学,理科,本科一批,529,533,522,-,本科,理学,物理学类,物理学
吉林大学,理科,本科一批,523,525,522,-,本科,工学,地质类,资源勘查工程
吉林大学,文科,本科一批,581,587,575,-,本科,文学,外国语言文学类,英语
吉林大学,文科,本科一批,576,580,573,-,本科,法学,法学类,法学
吉林大学,文科,本科一批,572,576,569,-,本科,管理学,农业经济管理类,农林经济管理
吉林大学,文科,本科一批,575,582,568,-,本科,法学,政治学类,政治学与行政学
吉林大学,文科,本科一批,570,574,567,-,本科,文学,新闻传播学类,新闻学
吉林大学,文科,本科一批,570,573,567,-,本科,历史学,历史学类,文物与博物馆学
吉林大学,文科,本科一批,568,569,567,-,本科,文学,外国语言文学类,俄语
哈尔滨金融学院,理科,本科二批,442,446,437,-,本科,管理学,工商管理类,会计学
哈尔滨金融学院,理科,本科二批,432,433,431,-,本科,经济学,金融学类,保险学
哈尔滨金融学院,理科,本科二批,426,427,426,-,本科,工学,计算机类,软件工程
哈尔滨金融学院,文科,本科二批,504,505,504,-,本科,经济学,金融学类,金融学
哈尔滨金融学院,文科,本科二批,500,503,497,-,本科,文学,外国语言文学类,英语
四川农业大学,理科,本科一批,472,486,457,-,本科,工学,环境科学与工程类,环境生态工程
四川农业大学,理科,本科一批,464,473,454,-,本科,农学,动物生产类,动物科学
四川农业大学,理科,本科一批,458,464,452,-,本科,经济学,金融学类,金融学
四川农业大学,理科,本科一批,449,449,449,-,本科,工学,土木类,土木工程
四川农业大学,理科,本科一批,460,473,448,-,本科,经济学,经济学类,经济学
四川农业大学,理科,本科一批,461,475,447,-,本科,理学,生物科学类,生物科学
四川农业大学,理科,本科一批,448,450,446,-,本科,管理学,农业经济管理类,农林经济管理
四川农业大学,理科,本科一批,448,449,446,-,本科,工学,农业工程类,农业电气化
安康学院,理科,本科二批,411,427,395,-,本科,工学,食品科学与工程类,食品科学与工程
安康学院,文科,本科二批,478,479,476,-,本科,理学,地理科学类,地理科学
西北民族大学,理科,本科二批,426,427,426,-,本科,经济学,金融学类,金融学
西北民族大学,理科,本科二批,424,427,421,-,本科,医学,口腔医学类,口腔医学
西北民族大学,理科,本科二批,420,424,418,-,本科,工学,电气类,电气工程及其自动化
西北民族大学,理科,本科二批,422,432,417,-,本科,医学,临床医学类,临床医学
西北民族大学,理科,本科二批,419,420,417,-,本科,经济学,经济学类,经济学
西北民族大学,理科,本科二批,417,421,416,-,本科,医学,医学技术类,医学检验技术
西北民族大学,理科,本科二批,418,423,416,-,本科,经济学,经济与贸易类,国际经济与贸易
西北民族大学,理科,本科二批,419,425,416,-,本科,工学,计算机类,计算机科学与技术
西北民族大学,理科,本科二批,418,425,414,-,本科,理学,数学类,数学与应用数学
西北民族大学,理科,本科二批,414,415,412,-,本科,经济学,金融学类,保险学
西北民族大学,理科,本科二批,413,424,408,-,本科,工学,自动化类,自动化
西北民族大学,理科,本科二批,408,410,407,-,本科,工学,计算机类,物联网工程
西北民族大学,理科,本科二批,413,423,406,-,本科,工学,土木类,土木工程
