学校名称,计划数,最低分数
北京大学,8,650.241111138
清华大学,1,653.240129139
中国人民大学,7,638.235108138
北京航空航天大学,2,610.225106127
北京理工大学,5,604.225112126
中央民族大学,28,590.236107098
北京化工大学,10,569.213099110
北京外国语大学,6,608.228109132
中国传媒大学,6,609.238108118
中央财经大学,10,611.215103136
北京体育大学,10,564.226102101
中国政法大学,5,578.239100117
中国政法大学,5,578.239100117
北京工商大学,4,585.216103111
首都经济贸易大学,6,587.223107125
北京印刷学院,2,535.196100119
北京建筑大学,2,539.194104112
南开大学,7,614.235116128
天津科技大学,9,549.185106115
中国民航大学,2,562.234094106
天津师范大学,18,555.213101120
天津外国语大学,33,569.209106098
天津财经大学,6,567.226090120
天津财经大学,6,567.226090120
石家庄铁道大学,2,539.214093109
中北大学,4,538.222101103
山西财经大学,37,539.206088108
大连海事大学,4,563.222102109
东北财经大学,7,593.234107125
沈阳工业大学,11,534.228106081
吉林大学,6,597.236099124
延边大学,4,546.223101120
东北师范大学,8,579.225109107
长春理工大学,3,529.207096115
东北林业大学,7,547.200097119
东北农业大学,2,538.215106079
黑龙江大学,15,538.210103098
哈尔滨商业大学,8,548.220095111
复旦大学,4,643.256111140
上海交通大学,1,642.257116128
上海海事大学,14,560.195092136
华东政法大学,10,600.238110130
上海立信会计金融学院,18,566.220103109
南京大学,5,635.247120133
苏州大学,9,596.224106130
中国矿业大学,3,569.215104126
河海大学,3,584.243094118
中国药科大学,2,583.236096114
江苏科技大学,18,545.213109118
常州大学,15,539.203110125
南京邮电大学,14,556.200102110
南京林业大学,4,550.221098106
江苏大学,15,569.215099121
苏州科技大学,28,542.239100087
南京审计大学,13,587.226110108
西交利物浦大学,20,537.203106103
浙江大学,8,631.260101133
浙江工商大学,13,577.211107124
中国计量大学,6,557.191106125
浙江师范大学,18,569.226104110
浙江财经大学,17,568.211115125
宁波诺丁汉大学,7,552.208102105
宁波诺丁汉大学,7,552.208102105
安徽农业大学,5,529.213103097
安徽财经大学,23,548.212103100
厦门大学,2,593.234111119
厦门大学,2,593.234111119
福州大学,4,578.215114122
福建农林大学,4,534.212092122
南昌大学,6,561.218104117
东华理工大学,8,530.197101105
江西理工大学,8,535.223101091
江西师范大学,30,537.220101085
江西财经大学,9,579.221106117
山东大学,14,599.227101132
山东大学威海分校,7,590.224097111
中国海洋大学,9,593.214119125
山东科技大学,14,545.223100125
济南大学,15,553.222106104
山东财经大学,30,559.218101116
青岛大学,4,566.221096117
山东师范大学,34,552.234100097
郑州大学,14,581.214099130
河南大学,14,553.215094118
河南师范大学,14,529.207103107
武汉大学,12,625.240117117
华中科技大学,5,577.224096123
华中科技大学,5,577.224096123
武汉理工大学,5,578.210107137
华中师范大学,5,593.225096123
中南财经政法大学,12,601.225105124
武汉工程大学,10,539.206099117
湖北工业大学,8,539.206098105
湖北大学,12,552.202103120
中南民族大学,50,545.208095109
三峡大学,8,541.196114092
中南大学,10,600.233104124
湖南大学,9,597.241099127
湖南师范大学,10,582.230091120
湘潭大学,8,567.226099116
长沙理工大学,6,548.220101114
湖南农业大学,12,533.207103085
中南林业科技大学,14,535.215081123
南华大学,4,533.190098109
湖南工业大学,9,535.215095109
湖南科技大学,18,537.231093098
中山大学,2,602.218110122
中山大学,2,602.218110122
暨南大学,19,587.239100126
广州大学,12,555.216099114
广东工业大学,4,529.227083108
广东工业大学,4,529.227083108
海南大学,7,569.237100098
西南大学,6,568.222093114
重庆邮电大学,2,552.228096119
重庆师范大学,7,544.208103100
西南政法大学,22,591.223088133
重庆工商大学,22,547.217103099
四川大学,4,603.233107124
西南交通大学,5,580.229107115
西南财经大学,25,602.229102125
成都理工大学,12,549.195108097
成都信息工程大学,5,537.210094102
西南民族大学,15,545.202100108
四川师范大学,41,552.230100074
贵州大学,6,553.214107108
云南大学,7,574.242107103
西北大学,19,586.213103113
长安大学,8,559.205095115
陕西师范大学,11,588.220116120
西安工业大学,10,533.209104113
西安科技大学,8,552.228113098
西安石油大学,4,528.205095107
西北政法大学,35,576.225098123
西安邮电大学,3,537.211080107
兰州大学,1,576.216096115
兰州大学,1,576.216096115
兰州交通大学,8,536.211113086
宁夏大学,373,537.225098094
宁夏医科大学,90,528.191114101
北方民族大学,46,531.204095095
新疆大学,2,528.197104095
石河子大学,6,531.200098114
