学校名称,科类,批次,平均分,最高分,最低分,最低位次,学位,学科门类,专业,专业名称
吉林大学,理科,本科一批,-,-,565,1028,本科,医学,临床医学类,临床医学（“5+3”一体化）
吉林大学,理科,本科一批,-,-,556,1292,本科,工学,机械类,车辆工程
吉林大学,理科,本科一批,-,-,549,1535,本科,医学,临床医学类,临床医学
吉林大学,理科,本科一批,-,-,546,1649,本科,工学,计算机类,软件工程
吉林大学,理科,本科一批,-,-,546,1649,本科,工学,计算机类,计算机类（宜英语语种考生就读）
吉林大学,理科,本科一批,-,-,544,1727,本科,经济学,经济学类,经济学类（经济学院）
吉林大学,理科,本科一批,-,-,542,1811,本科,工学,能源动力类,能源与动力工程
吉林大学,理科,本科一批,-,-,542,1811,本科,工学,电子信息类,通信工程（通信工程学院，含通信工程，信息工程，测控技术与仪器）
吉林大学,理科,本科一批,-,-,541,1855,本科,理学,化学类,化学类
吉林大学,理科,本科一批,-,-,538,1983,本科,工学,自动化类,自动化
吉林大学,理科,本科一批,-,-,538,1983,本科,工学,机械类,机械类
吉林大学,理科,本科一批,-,-,537,2033,本科,理学,数学类,数学类
吉林大学,理科,本科一批,-,-,537,2033,本科,工学,材料类,材料类
吉林大学,理科,本科一批,-,-,537,2033,本科,工学,农业工程类,农业机械化及其自动化
吉林大学,理科,本科一批,-,-,537,2033,本科,管理学,管理科学与工程类,管理科学与工程类（管理学院）
吉林大学,理科,本科一批,-,-,536,2077,本科,工学,仪器类,仪器类
吉林大学,理科,本科一批,-,-,535,2114,本科,工学,水利类,水利类
吉林大学,理科,本科一批,-,-,535,2114,本科,管理学,工商管理类,工商管理类（商学院）
吉林大学,理科,本科一批,-,-,534,2170,本科,工学,土木类,土木类
吉林大学,理科,本科一批,-,-,534,2170,本科,工学,电子信息类,电子信息类（电子科学与工程学院）
吉林大学,文科,本科一批,-,-,582,360,本科,法学,法学类,法学
吉林大学,文科,本科一批,-,-,580,388,本科,文学,新闻传播学类,新闻传播学类
吉林大学,文科,本科一批,-,-,580,388,本科,文学,外国语言文学类,俄语（零起点培养）
哈尔滨金融学院,理科,本科二批,-,-,434,10993,本科,管理学,工商管理类,会计学
哈尔滨金融学院,理科,本科二批,-,-,426,12133,本科,经济学,金融学类,保险学
哈尔滨金融学院,理科,本科二批,-,-,413,14183,本科,工学,计算机类,软件工程
哈尔滨金融学院,文科,本科二批,-,-,502,3512,本科,经济学,金融学类,金融学
哈尔滨金融学院,文科,本科二批,-,-,491,4406,本科,文学,外国语言文学类,英语
四川农业大学,理科,本科一批,-,-,464,7216,本科,管理学,农业经济管理类,农林经济管理
四川农业大学,理科,本科一批,-,-,463,7326,本科,农学,动物生产类,动物科学
四川农业大学,理科,本科一批,-,-,461,7535,本科,经济学,金融学类,金融学
四川农业大学,理科,本科一批,-,-,460,7646,本科,经济学,经济学类,经济学
四川农业大学,理科,本科一批,-,-,460,7646,本科,工学,农业工程类,农业机械化及其自动化
四川农业大学,理科,本科一批,-,-,458,7873,本科,管理学,管理科学与工程类,工程造价
四川农业大学,理科,本科一批,-,-,457,7988,本科,工学,环境科学与工程类,环境生态工程
四川农业大学,理科,本科一批,-,-,454,8356,本科,理学,生物科学类,生物科学
四川农业大学,理科,本科一批,-,-,453,8473,本科,理学,物理学类,应用物理学
四川农业大学,理科,本科一批,-,-,452,8601,本科,工学,土木类,土木工程
四川农业大学,理科,本科一批,-,-,450,8866,本科,农学,植物生产类,烟草
四川农业大学,理科,本科一批,-,-,449,8986,本科,管理学,旅游管理类,旅游管理
四川农业大学,理科,本科一批,-,-,449,8986,本科,工学,食品科学与工程类,食品科学与工程
